Name,Years,Country,Major Contributions
David Hilbert,1862-1943,Germany,"Contributed to a broad range of fields, including invariant theory, algebraic number theory, and the foundations of geometry. Known for Hilbert spaces in functional analysis."
Srinivasa Ramanujan,1887-1920,India,"Made substantial contributions to mathematical analysis, number theory, infinite series, and continued fractions. His work has inspired a vast amount of research."
Erwin Schrödinger,1887-1961,Austria,"Developed wave mechanics and formulated the Schrödinger equation, which describes how the quantum state of a physical system changes over time."
Niels Bohr,1885-1962,Denmark,"Developed the Bohr model of the atom, which introduced quantum theory to atomic structure. Made foundational contributions to understanding atomic and molecular structure."
Albert Einstein,1879-1955,Germany,"Developed the theory of relativity, fundamentally changing our understanding of space, time, and energy. Known for the equation E=mc^2 and his contributions to the photoelectric effect."
Emmy Noether,1882-1935,Germany,"Made groundbreaking contributions to abstract algebra and theoretical physics. Known for Noether's theorem, which links symmetries and conservation laws in physics."
Paul Dirac,1902-1984,England,"One of the pioneers of quantum mechanics and quantum electrodynamics. Known for the Dirac equation, which describes the behavior of fermions and predicted the existence of antimatter."
Werner Heisenberg,1901-1976,Germany,"Developed matrix mechanics, one of the formulations of quantum mechanics. Known for the Heisenberg uncertainty principle, which states a fundamental limit to the precision with which pairs of physical properties can be known."
Kurt Gödel,1906-1978,Austria,"Best known for his incompleteness theorems, which have profound implications for the limits of formal systems in mathematics and logic."
John von Neumann,1903-1957,Hungary,"Made fundamental contributions to many fields, including set theory, functional analysis, quantum mechanics, and computer science. Known for the von Neumann architecture and game theory."
Andrey Kolmogorov,1903-1987,Russia,"Made significant contributions to probability theory, turbulence, and the theory of computation. Known for the Kolmogorov axioms, which are the foundation of modern probability theory."
Richard Feynman,1918-1988,USA,"Developed the path integral formulation of quantum mechanics and contributed to the theory of quantum electrodynamics. Known for Feynman diagrams, which are used to represent particle interactions."
Paul Erdős,1913-1996,Hungary,"Prolific mathematician who contributed to numerous fields, particularly combinatorics, graph theory, number theory, and probability. Known for the Erdős number, which measures collaborative distance in authorship of mathematical papers."
Alan Turing,1912-1954,England,"Considered the father of computer science. Developed the concept of the Turing machine, which is a fundamental model of computation, and played a crucial role in codebreaking during World War II."
John Nash,1928-2015,USA,"Made fundamental contributions to game theory, differential geometry, and the study of partial differential equations. Known for Nash equilibrium in game theory."
Stephen Hawking,1942-2018,England,"Made significant contributions to the fields of cosmology and quantum gravity, particularly in the context of black holes. Known for Hawking radiation."
